RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-05-31,2022-07-31,2023-04-30
102001,0,United States,Country,,2022-04-30,1.6,5.2,11.6
394913,1,"New York, NY",Msa,NY,2022-04-30,1.3,3.7,7.5
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-04-30,2.1,5.6,12.0
394463,3,"Chicago, IL",Msa,IL,2022-04-30,1.2,3.9,7.7
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-04-30,3.0,11.4,24.7
394974,5,"Philadelphia, PA",Msa,PA,2022-04-30,1.2,4.0,8.7
394692,6,"Houston, TX",Msa,TX,2022-04-30,2.0,5.7,12.0
395209,7,"Washington, DC",Msa,DC,2022-04-30,1.0,3.5,7.1
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-04-30,2.8,7.8,16.8
394347,9,"Atlanta, GA",Msa,GA,2022-04-30,2.2,6.9,17.0
394404,10,"Boston, MA",Msa,MA,2022-04-30,1.4,4.3,9.4
395057,11,"San Francisco, CA",Msa,CA,2022-04-30,1.3,4.1,9.5
394532,12,"Detroit, MI",Msa,MI,2022-04-30,1.4,4.2,10.3
395025,13,"Riverside, CA",Msa,CA,2022-04-30,1.6,5.2,13.0
394976,14,"Phoenix, AZ",Msa,AZ,2022-04-30,2.2,7.0,17.4
395078,15,"Seattle, WA",Msa,WA,2022-04-30,2.4,5.9,14.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-04-30,1.1,3.7,8.7
395056,17,"San Diego, CA",Msa,CA,2022-04-30,2.2,6.6,15.7
395121,18,"St. Louis, MO",Msa,MO,2022-04-30,1.1,3.5,8.1
395148,19,"Tampa, FL",Msa,FL,2022-04-30,3.3,9.3,20.7
394358,20,"Baltimore, MD",Msa,MD,2022-04-30,1.0,3.6,6.7
394530,21,"Denver, CO",Msa,CO,2022-04-30,1.8,5.3,12.1
394982,22,"Pittsburgh, PA",Msa,PA,2022-04-30,0.7,3.5,8.3
394998,23,"Portland, OR",Msa,OR,2022-04-30,1.7,4.9,10.5
394458,24,"Charlotte, NC",Msa,NC,2022-04-30,2.5,7.5,17.5
395045,25,"Sacramento, CA",Msa,CA,2022-04-30,1.5,5.0,11.8
395055,26,"San Antonio, TX",Msa,TX,2022-04-30,2.2,6.3,13.5
394943,27,"Orlando, FL",Msa,FL,2022-04-30,2.9,8.1,17.5
394466,28,"Cincinnati, OH",Msa,OH,2022-04-30,1.5,4.6,10.6
394475,29,"Cleveland, OH",Msa,OH,2022-04-30,1.5,4.8,10.6
394735,30,"Kansas City, MO",Msa,MO,2022-04-30,1.1,4.0,10.0
394775,31,"Las Vegas, NV",Msa,NV,2022-04-30,1.9,5.9,16.0
394492,32,"Columbus, OH",Msa,OH,2022-04-30,1.4,4.7,11.4
394705,33,"Indianapolis, IN",Msa,IN,2022-04-30,1.3,4.6,11.8
395059,34,"San Jose, CA",Msa,CA,2022-04-30,1.4,4.3,10.0
394355,35,"Austin, TX",Msa,TX,2022-04-30,1.6,5.7,15.0
395194,36,"Virginia Beach, VA",Msa,VA,2022-04-30,1.2,3.8,7.8
394902,37,"Nashville, TN",Msa,TN,2022-04-30,2.3,8.4,19.4
395005,38,"Providence, RI",Msa,RI,2022-04-30,1.2,4.2,10.7
394862,39,"Milwaukee, WI",Msa,WI,2022-04-30,1.4,3.9,9.1
394714,40,"Jacksonville, FL",Msa,FL,2022-04-30,2.5,7.3,16.8
394849,41,"Memphis, TN",Msa,TN,2022-04-30,1.3,4.4,11.9
394935,42,"Oklahoma City, OK",Msa,OK,2022-04-30,1.5,4.4,9.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2022-04-30,1.3,4.1,9.4
394669,44,"Hartford, CT",Msa,CT,2022-04-30,1.8,5.2,9.3
395022,45,"Richmond, VA",Msa,VA,2022-04-30,1.0,3.8,8.4
394910,46,"New Orleans, LA",Msa,LA,2022-04-30,1.1,3.8,7.5
394425,47,"Buffalo, NY",Msa,NY,2022-04-30,1.9,5.3,11.4
395012,48,"Raleigh, NC",Msa,NC,2022-04-30,2.7,8.0,18.0
394388,49,"Birmingham, AL",Msa,AL,2022-04-30,1.4,4.6,10.7
395053,50,"Salt Lake City, UT",Msa,UT,2022-04-30,1.6,6.0,15.8
395031,51,"Rochester, NY",Msa,NY,2022-04-30,1.4,4.3,9.6
394640,52,"Grand Rapids, MI",Msa,MI,2022-04-30,1.5,4.8,11.7
395167,53,"Tucson, AZ",Msa,AZ,2022-04-30,1.9,6.3,15.2
753924,54,"Urban Honolulu, HI",Msa,HI,2022-04-30,0.9,3.7,7.3
395169,55,"Tulsa, OK",Msa,OK,2022-04-30,1.5,4.8,10.0
394619,56,"Fresno, CA",Msa,CA,2022-04-30,1.6,5.8,13.2
395238,57,"Worcester, MA",Msa,MA,2022-04-30,1.3,4.6,11.1
394415,58,"Stamford, CT",Msa,CT,2022-04-30,1.3,4.7,9.8
394312,59,"Albuquerque, NM",Msa,NM,2022-04-30,1.5,4.9,12.0
394308,60,"Albany, NY",Msa,NY,2022-04-30,1.5,4.2,8.6
394938,61,"Omaha, NE",Msa,NE,2022-04-30,1.2,4.3,9.7
394908,62,"New Haven, CT",Msa,CT,2022-04-30,1.1,4.4,10.8
394357,63,"Bakersfield, CA",Msa,CA,2022-04-30,1.6,5.4,12.8
394753,64,"Knoxville, TN",Msa,TN,2022-04-30,2.0,6.7,16.3
394653,65,"Greenville, SC",Msa,SC,2022-04-30,2.4,6.5,13.4
394952,66,"Ventura, CA",Msa,CA,2022-04-30,1.2,4.1,9.5
394318,67,"Allentown, PA",Msa,PA,2022-04-30,1.3,4.3,10.5
394561,68,"El Paso, TX",Msa,TX,2022-04-30,2.0,5.7,10.8
394367,69,"Baton Rouge, LA",Msa,LA,2022-04-30,1.4,3.7,6.0
394521,70,"Dayton, OH",Msa,OH,2022-04-30,1.1,4.2,10.9
394843,71,"McAllen, TX",Msa,TX,2022-04-30,1.5,4.4,9.8
394486,72,"Columbia, SC",Msa,SC,2022-04-30,2.1,6.2,12.9
394648,73,"Greensboro, NC",Msa,NC,2022-04-30,2.2,6.1,13.6
394304,74,"Akron, OH",Msa,OH,2022-04-30,1.1,3.7,8.8
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,2022-04-30,3.4,9.8,20.3
394798,76,"Little Rock, AR",Msa,AR,2022-04-30,1.2,4.0,7.5
395134,77,"Stockton, CA",Msa,CA,2022-04-30,2.2,6.1,13.8
394457,78,"Charleston, SC",Msa,SC,2022-04-30,2.0,6.8,15.2
395143,79,"Syracuse, NY",Msa,NY,2022-04-30,1.5,4.5,9.4
394484,80,"Colorado Springs, CO",Msa,CO,2022-04-30,1.7,5.4,14.4
395235,81,"Winston-Salem, NC",Msa,NC,2022-04-30,1.9,5.5,12.7
395224,82,"Wichita, KS",Msa,KS,2022-04-30,1.2,3.9,8.4
395115,83,"Springfield, MA",Msa,MA,2022-04-30,1.5,4.7,9.9
394440,84,"Fort Myers, FL",Msa,FL,2022-04-30,3.6,10.2,21.5
394399,85,"Boise City, ID",Msa,ID,2022-04-30,0.4,4.1,14.7
395160,86,"Toledo, OH",Msa,OH,2022-04-30,1.1,4.0,9.1
394816,87,"Madison, WI",Msa,WI,2022-04-30,1.3,4.0,9.1
394766,88,"Lakeland, FL",Msa,FL,2022-04-30,2.6,7.6,17.9
394931,89,"Ogden, UT",Msa,UT,2022-04-30,1.7,5.6,15.5
394528,90,"Daytona Beach, FL",Msa,FL,2022-04-30,2.6,8.2,18.9
394531,91,"Des Moines, IA",Msa,IA,2022-04-30,1.0,3.7,7.7
394711,92,"Jackson, MS",Msa,MS,2022-04-30,1.4,4.2,8.4
395245,93,"Youngstown, OH",Msa,OH,2022-04-30,1.5,5.2,11.8
394352,94,"Augusta, GA",Msa,GA,2022-04-30,1.2,4.2,10.1
395075,95,"Scranton, PA",Msa,PA,2022-04-30,1.5,5.3,13.2
